row_index,url,column,raw_value,issue_type,message,value_used,requires_manual_review
59,https://www.portalinmobiliario.com/MLC-1785411685-metro-trinidad-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_97...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
60,https://www.portalinmobiliario.com/MLC-3368042276-pieza-interior-cn-bano-privado-1persona-cerca-metro-trinidad-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_84...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
61,https://www.portalinmobiliario.com/MLC-1808011423-se-arrienda-casa-recien-remodelada-sector-jardin-alto-_JM,IMAGES," Sector Jardin Alto"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.m...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
62,https://www.portalinmobiliario.com/MLC-1801178063-oportunidad-arriendo-de-casa-grande-trato-directo-con-dueno-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_64...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
63,https://www.portalinmobiliario.com/MLC-1810836493-arriendo-casa-en-la-florida-con-patio-amplio-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_64...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
64,https://www.portalinmobiliario.com/MLC-3479895930-propiedad-muy-amplia-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_64...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
65,https://www.portalinmobiliario.com/MLC-3470872646-casa-en-condominio-la-reina-alta-120813-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_69...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
66,https://www.portalinmobiliario.com/MLC-3479954478-linda-moderna-funcional-la-reina-central-_JM,IMAGES," Moderna, Funcional, La Reina Central"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
67,https://www.portalinmobiliario.com/MLC-3484653700-se-arrienda-sin-comision-frente-hospital-militar-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_66...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
68,https://www.portalinmobiliario.com/MLC-1807990121-casa-nueva-en-arriendo-en-rahue-2-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_60...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
69,https://www.portalinmobiliario.com/MLC-3473774680-casa-en-arriendo-de-3-dorm-en-lampa-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_96...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
70,https://www.portalinmobiliario.com/MLC-3482075284-arriendo-casa-lampa-condominio-los-coihues-aislada-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_67...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
71,https://www.portalinmobiliario.com/MLC-1809897099-searrienda-amplia-casa-en-la-4ta-etapa-de-larapinta-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_79...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
72,https://www.portalinmobiliario.com/MLC-1809877915-casa-en-chicauma-3d-3b-condominio-cerrado-138815-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_88...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
73,https://www.portalinmobiliario.com/MLC-1810914177-arriendo-casa-valle-grande-lampa-_JM,IMAGES,"lampa"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
74,https://www.portalinmobiliario.com/MLC-3484876782-casa-en-arriendo-en-las-condes-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_94...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
75,https://www.portalinmobiliario.com/MLC-3470857518-se-arrienda-casa-cercana-a-metro-colon-y-colegios-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_67...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
76,https://www.portalinmobiliario.com/MLC-3485305156-arriendo-casa-en-condominio-en-las-condes-4-piezas-3-banos-_JM,IMAGES," 4 Piezas, 3 Baños"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.ml...",images_json_invalid,JSON inválido: Extra data: line 1 column 3 (char 2),(lista vacía),True
77,https://www.portalinmobiliario.com/MLC-3394768280-casa-arriendo-4-dormitorios-3-banos-servicios-felix-amesti-_JM,IMAGES," 3 Baños, Servicios Felix Amesti"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""ht...",images_json_invalid,JSON inválido: Extra data: line 1 column 3 (char 2),(lista vacía),True
78,https://www.portalinmobiliario.com/MLC-3480320000-casa-condominio-san-luis-el-golf-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_77...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
79,https://www.portalinmobiliario.com/MLC-3480089486-casa-en-arriendo-de-5-dorm-en-las-condes-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_92...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
80,https://www.portalinmobiliario.com/MLC-1795159931-preciosa-casa-estilo-mediterraneo-5-suite-sector-los-nogales-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_62...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
81,https://www.portalinmobiliario.com/MLC-3480148442-casa-en-arriendo-de-6-dorm-en-chicureo-colina-_JM,IMAGES," Colina"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
82,https://www.portalinmobiliario.com/MLC-3480317960-preciosa-casa-en-parcela-en-condominio-5d5b-hermoso-jardin-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_97...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
83,https://www.portalinmobiliario.com/MLC-3469481926-casa-en-arriendo-con-compromiso-de-compra-chicureo-colina-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_85...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
84,https://www.portalinmobiliario.com/MLC-3485486902-casa-en-arriendo-de-3-dorm-en-colina-piedra-roja-chicureo-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_99...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
85,https://www.portalinmobiliario.com/MLC-1808263227-casa-en-arriendo-de-5-dorm-en-chicureo-colina-_JM,IMAGES," Colina"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
86,https://www.portalinmobiliario.com/MLC-1798918805-arriendo-amoblado-dpto-2d-2b-barrio-el-golf-las-condes-_JM,IMAGES," Dpto 2d-2b, Barrio El Golf, Las Condes"""",{""""""""n_img"""""""": 5, """"""""images"""""""": ...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
87,https://www.portalinmobiliario.com/MLC-3456234118-departamento-en-arriendo-de-3-dorm-en-las-condes-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_78...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
88,https://www.portalinmobiliario.com/MLC-1775295521-departamento-en-arriendo-de-3-dorm-mas-servic-en-las-condes-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_98...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
89,https://www.portalinmobiliario.com/MLC-1808213583-2d-2b-i-90-m2-totales-i-2-e-i-parque-araucano-p-arauco-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_88...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
90,https://www.portalinmobiliario.com/MLC-3384672896-hermoso-2d-i-2b-i-e-i-parque-araucano-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_86...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
91,https://www.portalinmobiliario.com/MLC-3466880790-buen-depto-i-2d-2b-i-1e-i-parque-arauco-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_85...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
92,https://www.portalinmobiliario.com/MLC-1808094559-departamento-en-arriendo-de-4-dorm-en-las-condes-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_74...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
